Osoite,Vmh,Pinta-ala,URL,Postinmr,Kaupunki,Neliöhinta,Keskineliöhinta,1v-muutosprosentti,5v-muutosprosentti,Reitti Kökkeliin,Reitti töihin
Soukantie 15 E,269000,99.0,https://www.etuovi.com/kohde/7986667,02360, Espoo,2717.0,3075,6%,13%,43.0,36.0
Soukankaari 1 B 29,319000,97.0,https://www.etuovi.com/kohde/q87362,02360, Espoo,3289.0,3075,6%,13%,42.0,34.0
Hirvisuontie 27 B,350000,76.0,https://www.etuovi.com/kohde/502277,02810, Espoo,0.0,3384,11%,,16.0,59.0
Nuuniitynkuja 1,295000,87.0,https://www.etuovi.com/kohde/1297651,02710, Espoo,3391.0,2796,4%,7%,58.0,37.0
Törmäniityntie 15,209000,90.5,https://www.etuovi.com/kohde/21645202,02710, Espoo,2309.0,2796,4%,7%,60.0,41.0
Nuumäentie 9,279000,96.5,https://www.etuovi.com/kohde/21982593,02710, Espoo,2891.0,2796,4%,7%,61.0,38.0
Humisevanportti 4,219000,104.0,https://www.etuovi.com/kohde/1296611,02710, Espoo,2106.0,2796,4%,7%,60.0,39.0
Viherkalliontie 1,294000,102.0,https://www.etuovi.com/kohde/21025179,02710, Espoo,2882.0,2796,4%,7%,58.0,26.0
Savutie 14 A,325000,130.0,https://www.etuovi.com/kohde/7986912,02770, Espoo,2500.0,3291,14%,13%,32.0,33.0
Kaurakaski 6 as,278000,83.0,https://www.etuovi.com/kohde/7986447,02340, Espoo,3349.0,3239,4%,3%,41.0,52.0
Oksakarhinmäki 4,279000,98.0,https://www.etuovi.com/kohde/20239731,02340, Espoo,2847.0,3239,4%,3%,44.0,56.0
Kaskenpolttajantie 7,344000,103.5,https://www.etuovi.com/kohde/21345365,02340, Espoo,3324.0,3239,4%,3%,25.0,33.0
Taka-Niipperin tie 12 A,290000,210.0,https://www.etuovi.com/kohde/21072735,02970, Espoo,1381.0,2942,1%,6%,55.0,48.0
Niittykuja 2,335000,106.5,https://www.etuovi.com/kohde/21757730,02200, Espoo,3146.0,4473,4%,20%,45.0,47.0
Isoistenkuja 4,335000,99.0,https://www.etuovi.com/kohde/21050427,02200, Espoo,3384.0,4473,4%,20%,62.0,31.0
Kirstintie 3 B 42,198000,95.5,https://www.etuovi.com/kohde/q92626,02760, Espoo,2073.0,2908,7%,10%,43.0,38.0
Kirstinsyrjä 6,195000,95.0,https://www.etuovi.com/kohde/20945853,02760, Espoo,2053.0,2908,7%,10%,45.0,40.0
Kirstinmäki 1,185000,94.0,https://www.etuovi.com/kohde/20576228,02760, Espoo,1968.0,2908,7%,10%,45.0,30.0
Sunanniitynkuja 4,299000,92.5,https://www.etuovi.com/kohde/q84877,02760, Espoo,3232.0,2908,7%,10%,35.0,54.0
Aallonhuippu 3,230000,117.5,https://www.etuovi.com/kohde/2234852,02320, Espoo,1957.0,3146,1%,6%,25.0,38.0
Maininkitie 16,269000,98.0,https://www.etuovi.com/kohde/21914779,02320, Espoo,2745.0,3146,1%,6%,25.0,40.0
Puosunrinne 3,219500,94.0,https://www.etuovi.com/kohde/20292548,02320, Espoo,2335.0,3146,1%,6%,35.0,57.0
Aallonhuippu 3 A 4,185000,96.5,https://www.etuovi.com/kohde/21060847,02320, Espoo,1917.0,3146,1%,6%,26.0,37.0
Porarinkatu 5,339000,85.5,https://www.etuovi.com/kohde/21460556,02650, Espoo,3965.0,4054,7%,14%,54.0,24.0
Tammihaantie 2,228000,119.0,https://www.etuovi.com/kohde/20693572,02940, Espoo,1916.0,3172,5%,9%,38.0,38.0
Lansantie 23,275000,90.0,https://www.etuovi.com/kohde/21823814,02630, Espoo,3056.0,3482,2%,6%,53.0,40.0
Heinjoenpolku 1 A,208000,89.0,https://www.etuovi.com/kohde/7974869,02140, Espoo,2337.0,3603,19%,16%,64.0,35.0
Täysikuu 10 A,218000,90.5,https://www.etuovi.com/kohde/7981760,02210, Espoo,2409.0,3220,2%,9%,36.0,57.0
Ylistörmä 5,237000,82.0,https://www.etuovi.com/kohde/1296385,02210, Espoo,2890.0,3220,2%,9%,35.0,57.0
Tornihaukantie 4,258000,105.0,https://www.etuovi.com/kohde/1296429,02620, Espoo,2457.0,2913,4%,8%,43.0,37.0
